date,EUR2M Curncy,EUR Curncy,EURUSDH2M BGN Curncy,EURUSDV2M BGN Curncy
3/21/2016,20.26,1.1241,10.6346,8.9725
3/22/2016,20.28,1.1217,10.3281,8.905
3/23/2016,20.63,1.1181,10.3012,8.99
3/24/2016,20.58,1.1174,10.2981,8.96
3/25/2016,20.6,1.1167,10.2699,8.9225
3/28/2016,20.65,1.1196,10.224,9.1075
3/29/2016,20.8,1.1291,10.2562,8.7
3/30/2016,20.45,1.1338,10.2129,8.265
3/31/2016,21.49,1.138,10.1898,8.8275
4/1/2016,21.07,1.1391,10.2336,8.8025
4/4/2016,20.28,1.1391,10.053,8.865
4/5/2016,20.17,1.1384,9.9363,9.225
4/6/2016,20.06,1.1399,9.8681,9.34
4/7/2016,20.41,1.1378,9.8585,9.5775
4/8/2016,20.22,1.1399,9.741,9.2025
4/11/2016,20.02,1.1408,9.7142,9.2
4/12/2016,20.37,1.1386,9.5774,9.0825
4/13/2016,20.15,1.1274,9.5317,8.9375
4/14/2016,20.62,1.1268,9.5396,9.3825
4/15/2016,20.28,1.1284,9.5194,9.1725
4/18/2016,20.05,1.1313,9.4853,8.9825
4/19/2016,20.2,1.1358,9.4219,8.7675
4/20/2016,20.22,1.1297,9.3848,8.68
4/21/2016,20.87,1.1288,9.5042,8.695
4/22/2016,20.3,1.1222,9.4889,8.7525
4/25/2016,20.13,1.1268,9.4046,8.7775
4/26/2016,20.15,1.1297,9.4212,9.5775
4/27/2016,20.35,1.1322,9.3311,9.6725
4/28/2016,22.4,1.1352,9.3353,9.54
4/29/2016,22.29,1.1451,9.2917,9.71
5/2/2016,22.4,1.1534,9.3337,10.265
5/3/2016,22.06,1.1496,9.3381,10.4075
5/4/2016,22.05,1.1487,9.2651,10.3125
5/5/2016,22.57,1.1405,9.2404,10.565
5/6/2016,22.16,1.1404,9.2188,10.2275
5/9/2016,21.72,1.1383,9.201,10.1675
5/10/2016,21.5,1.1372,7.9401,9.995
5/11/2016,21.35,1.1426,7.8054,9.7675
5/12/2016,22.1,1.1377,7.7598,9.705
5/13/2016,21.85,1.1309,7.7316,10.0625
5/16/2016,21.35,1.1321,7.3424,10.3325
5/17/2016,21.18,1.1313,7.2036,10.1525
5/18/2016,21.36,1.1216,7.323,9.99
5/19/2016,22.79,1.1203,7.337,10.075
5/20/2016,22.44,1.1224,7.2849,9.8675
5/23/2016,22.2,1.122,7.2807,9.68
5/24/2016,22.32,1.1141,7.2892,9.44
5/25/2016,22.32,1.1155,7.3186,8.865
5/26/2016,22.05,1.1194,7.3625,8.675
